"team","location","target","forecast.date","season","observation","observation2","score"
"kot","region4","onset",2015-12-07,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2015-12-14,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2015-12-21,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2015-12-30,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-01-06,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-01-11,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-01-18,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-01-25,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-02-01,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-02-08,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-02-15,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-02-22,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-02-29,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-03-07,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-03-14,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-03-21,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-03-28,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-04-04,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-04-11,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-04-18,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-04-25,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-05-02,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-05-09,"2015/2016",3,NA,-2.42814831596939
"kot","region4","onset",2016-05-16,"2015/2016",3,NA,-2.42814831596939
"kot","region4","pkper",2015-11-02,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2015-11-09,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2015-11-16,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2015-11-23,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2015-12-01,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2015-12-07,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2015-12-14,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2015-12-21,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2015-12-30,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-01-06,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-01-11,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-01-18,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-01-25,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-02-01,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-02-08,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-02-15,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-02-22,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-02-29,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-03-07,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-03-14,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-03-21,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-03-28,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-04-04,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-04-11,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-04-18,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-04-25,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-05-02,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-05-09,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkper",2016-05-16,"2015/2016",3.6,NA,-2.1982250776698
"kot","region4","pkwk",2015-11-02,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2015-11-09,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2015-11-16,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2015-11-23,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2015-12-01,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2015-12-07,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2015-12-14,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2015-12-21,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2015-12-30,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-01-06,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-01-11,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-01-18,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-01-25,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-02-01,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-02-08,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-02-15,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-02-22,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-02-29,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-03-07,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-03-14,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-03-21,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-03-28,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-04-04,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-04-11,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-04-18,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-04-25,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-05-02,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-05-09,"2015/2016",10,NA,-2.42814831596939
"kot","region4","pkwk",2016-05-16,"2015/2016",10,NA,-2.42814831596939
"kot","region5","onset",2015-11-02,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2015-11-09,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2015-11-16,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2015-11-23,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2015-12-01,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2015-12-07,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2015-12-14,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2015-12-21,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2015-12-30,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-01-06,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-01-11,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-01-18,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-01-25,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-02-01,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-02-08,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-02-15,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-02-22,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-02-29,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-03-07,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-03-14,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-03-21,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-03-28,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-04-04,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-04-11,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-04-18,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-04-25,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-05-02,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-05-09,"2015/2016",7,NA,-2.42814831596939
"kot","region5","onset",2016-05-16,"2015/2016",7,NA,-2.42814831596939
"kot","region5","pkper",2015-11-02,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2015-11-09,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2015-11-16,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2015-11-23,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2015-12-01,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2015-12-07,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2015-12-14,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2015-12-21,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2015-12-30,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-01-06,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-01-11,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-01-18,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-01-25,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-02-01,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-02-08,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-02-15,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-02-22,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-02-29,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-03-07,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-03-14,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-03-21,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-03-28,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-04-04,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-04-11,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-04-18,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-04-25,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-05-02,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-05-09,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkper",2016-05-16,"2015/2016",3.3,NA,-2.1982250776698
"kot","region5","pkwk",2015-11-02,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2015-11-09,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2015-11-16,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2015-11-23,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2015-12-01,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2015-12-07,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2015-12-14,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2015-12-21,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2015-12-30,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-01-06,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-01-11,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-01-18,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-01-25,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-02-01,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-02-08,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-02-15,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-02-22,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-02-29,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-03-07,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-03-14,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-03-21,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-03-28,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-04-04,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-04-11,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-04-18,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-04-25,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-05-02,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-05-09,"2015/2016",10,NA,-2.42814831596939
"kot","region5","pkwk",2016-05-16,"2015/2016",10,NA,-2.42814831596939
"kot","region6","onset",2015-11-02,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2015-11-09,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2015-11-16,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2015-11-23,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2015-12-01,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2015-12-07,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2015-12-14,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2015-12-21,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2015-12-30,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-01-06,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-01-11,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-01-18,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-01-25,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-02-01,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-02-08,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-02-15,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-02-22,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-02-29,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-03-07,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-03-14,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-03-21,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-03-28,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-04-04,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-04-11,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-04-18,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-04-25,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-05-02,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-05-09,"2015/2016",47,NA,-2.42814831596939
"kot","region6","onset",2016-05-16,"2015/2016",47,NA,-2.42814831596939
"kot","region6","pkper",2015-11-02,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2015-11-09,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2015-11-16,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2015-11-23,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2015-12-01,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2015-12-07,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2015-12-14,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2015-12-21,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2015-12-30,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-01-06,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-01-11,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-01-18,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-01-25,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-02-01,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-02-08,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-02-15,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-02-22,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-02-29,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-03-07,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-03-14,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-03-21,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-03-28,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-04-04,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-04-11,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-04-18,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-04-25,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-05-02,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-05-09,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkper",2016-05-16,"2015/2016",5.6,NA,-2.1982250776698
"kot","region6","pkwk",2015-11-02,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2015-11-09,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2015-11-16,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2015-11-23,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2015-12-01,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2015-12-07,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2015-12-14,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2015-12-21,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2015-12-30,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-01-06,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-01-11,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-01-18,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-01-25,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-02-01,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-02-08,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-02-15,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-02-22,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-02-29,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-03-07,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-03-14,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-03-21,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-03-28,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-04-04,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-04-11,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-04-18,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-04-25,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-05-02,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-05-09,"2015/2016",7,NA,-2.42814831596939
"kot","region6","pkwk",2016-05-16,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2015-11-02,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2015-11-09,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2015-11-16,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2015-11-23,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2015-12-01,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2015-12-07,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2015-12-14,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2015-12-21,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2015-12-30,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-01-06,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-01-11,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-01-18,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-01-25,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-02-01,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-02-08,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-02-15,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-02-22,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-02-29,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-03-07,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-03-14,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-03-21,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-03-28,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-04-04,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-04-11,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-04-18,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-04-25,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-05-02,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-05-09,"2015/2016",7,NA,-2.42814831596939
"kot","region7","onset",2016-05-16,"2015/2016",7,NA,-2.42814831596939
"kot","region7","pkper",2015-11-02,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2015-11-09,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2015-11-16,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2015-11-23,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2015-12-01,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2015-12-07,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2015-12-14,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2015-12-21,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2015-12-30,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-01-06,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-01-11,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-01-18,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-01-25,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-02-01,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-02-08,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-02-15,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-02-22,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-02-29,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-03-07,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-03-14,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-03-21,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-03-28,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-04-04,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-04-11,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-04-18,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-04-25,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-05-02,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-05-09,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkper",2016-05-16,"2015/2016",2.5,NA,-2.1982250776698
"kot","region7","pkwk",2015-11-02,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2015-11-09,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2015-11-16,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2015-11-23,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2015-12-01,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2015-12-07,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2015-12-14,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2015-12-21,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2015-12-30,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-01-06,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-01-11,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-01-18,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-01-25,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-02-01,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-02-08,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-02-15,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-02-22,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-02-29,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-03-07,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-03-14,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-03-21,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-03-28,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-04-04,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-04-11,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-04-18,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-04-25,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-05-02,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-05-09,"2015/2016",10,NA,-2.42814831596939
"kot","region7","pkwk",2016-05-16,"2015/2016",10,NA,-2.42814831596939
"kot","region8","onset",2015-11-02,"2015/2016",5,NA,-2.42814831596939
"kot","region8","onset",2015-11-09,"2015/2016",5,NA,-2.42814831596939
"kot","region8","onset",2015-11-16,"2015/2016",5,NA,-2.42814831596939
"kot","region8","onset",2015-11-23,"2015/2016",5,NA,-2.42814831596939
"kot","region8","onset",2015-12-01,"2015/2016",5,NA,-2.42814831596939
"kot","region8","onset",2015-12-07,"2015/2016",5,NA,-2.42814831596939
"kot","region8","onset",2015-12-14,"2015/2016",5,NA,-2.42814831596939
"kot","region8","onset",2015-12-21,"2015/2016",5,NA,-2.42814831596939
"kot","region8","onset",2015-12-30,"2015/2016",5,NA,-2.42814831596939
